../pseudorefs/Dyak_2.8.1.fasta	2	1
../pseudorefs/Dyak_CY01A.fasta	2	1
../pseudorefs/Dyak_CY04B.fasta	2	1
../pseudorefs/Dyak_CY20A.fasta	2	1
../pseudorefs/Dyak_CY22B.fasta	1	1
../pseudorefs/Dyak_NY73PB.fasta	1	1
../pseudorefs/Dyak_SD10.fasta	2	2
../pseudorefs/Dyak_SD11.fasta	1	2
../pseudorefs/Dyak_SD12.fasta	1	2
../pseudorefs/Dyak_SD18.fasta	2	2
../pseudorefs/Dyak_SD21.fasta	1	2
../pseudorefs/Dyak_sd25.fasta	1	2
../pseudorefs/Dyak_sd26.fasta	2	2
../pseudorefs/Dyak_sd27.fasta	2	2
../pseudorefs/Dyak_sd28.fasta	1	2
../pseudorefs/Dyak_sd30.fasta	1	2
../pseudorefs/Dyak_sd32.fasta	1	2
../pseudorefs/Dyak_SD3.fasta	1	2
../pseudorefs/Dyak_SD4.fasta	2	2
../pseudorefs/Dyak_SD7.fasta	2	2
../pseudorefs/Dyak_SD8.fasta	1	2
../pseudorefs/Dyak_ST.fasta	1	1
../pseudorefs/Dyak_Tai18E2.fasta	2	1
